"Search query: 17261567,36381718,25550991,27145096,25562459,23052280,27522592,36636032,20064053,30505875,21887538,37775983,26665033,37106008,26718638,27783350,25793165,19506810,30968237,31211150,18839146,18982311,24977065,38630253,26491610,26340613,28210646,33623795,23824520,23725556,26105766,27379330,22314862,39280532,27210585,30007063,30167308,20668835,19847403,17634941,37714980,21084660,29373984,31286413,23974633,29502168,28523340,26523663,28812041,28817414,23307016,22581194,36441213,26229896,33997075,22198356,20702858,20628730,20492676,35381974,21079918,32333056,28361013,33330739,23738306,36158222,23138966,36246022,36419479,25811846,31413687,20401753,30140550,18292988,18539658,26493337,29138919,28875131,28217655,28680894,33430844,23824255,39157023,22218828,20433761,35160227,21898038,21802756,24905666,38887689,27027082,22249750,33742222,23007413,23015924,22926749,31417223,30128979,30129311,31542814,29767271,18762911,28045756,23824253,17934715,30314478,30505694,37529528,19107463,21290117,24748500,19656355,25266933,24825597,26535201,29244532,29167416,25939612,32850031,36455966,25883874,27695924,32607546,20514263,20734024,31764335,21360125,19575180,31312687,21445594,32367221,39464204,22574814,32549959,22744203,27155856,23248720,22407182,25606507,22682232,30276020,31656192,36936478,31897282,34877191,34708141,24753238,34336424,37392257,28242265,23766974,27104525,22343967,27429958,27120190,35391858,31696135,37533919,30899542,21287172,21290113,29350551,25373481,28791612,23177457,34040662,22488134,23217112,22260514,23238924,23016071,38130557,31431274,20069277,31673172,21080945,30828581,21953379,26509777,26916011,33560866,38300974,20062970,31819424,20815918,37824493,36001289,32426411,25429763,38524708,28903010,22813542,27612195,22941098,19847401,36684206,19902178,31363242,19132348,25366191,33354383,33842051,25742916,23100047,23111744,23767001,25954533,22159495,32587874,21932078,19590852,24015160,38498205,28366539,38721188,28217573,29158959,33515391,33419913,22392067,36406221,23016073,22909185,27601901,19884108,31446455,20501019,35888648,26675061,25323895,26450666,33176762,33457335,33344032[uid]",
Year,Count
2024,10
2023,13
2022,14
2021,13
2020,13
2019,20
2018,16
2017,21
2016,20
2015,22
2014,13
2013,19
2012,34
2011,17
2010,21
2009,11
2008,8
2007,3
